front_hooks,word,back_hooks,alphagram,definition
,COWPUNK,s,CKNOPUW,music combining country and western styles with punk rock [n -S]
,COWTOWN,s,CNOOTWW,a town or city in a cattle-raising area [n -S]
,CRACKIE,rs,ACCEIKR,a small dog of mixed breed [n -S]
,CRETONS,,CENORST,a spread of shredded pork and onions [n]
,CROFTED,,CDEFORT,"CROFT, to farm on a small tenant farm [v]"
,CROTALE,s,ACELORT,a small cymbal (a percussion instrument) [n -S]
,CRUISEY,,CEIRSUY,"cruisy (frequented by homosexuals seeking partners) [adj CRUISIER, CRUISIEST]"
,CSARDAS,,AACDRSS,czardas (a Hungarian dance) [n -ES]
,CUBBING,,BBCGINU,"CUB, to give birth to the young of certain animals [v]"
,CUEISTS,,CEISSTU,"CUEIST, one that uses a cue (a straight tapering rod) in billiards [n]"
,CULCHIE,rs,CCEHILU,"[n -S] / an offensive word [n -S] / an offensive word [adj -IER, -IEST]"
,CULMINA,,ACILMNU,"CULMEN, the upper ridge of a bird's beak [n]"
,CULSHIE,rs,CEHILSU,"[n -S] / an offensive word [n -S] / an offensive word [adj -IER, -IEST]"
s,CUMMING,,CGIMMNU,"CUM, an offensive word [v]"
,CURTANA,s,AACNRTU,a type of English sword [n -S]
,CYATHIA,,AACHITY,"CYATHIUM, the flower head of certain plants [n]"
,DAMFOOL,s,ADFLMOO,a stupid or foolish person [n -S]
,DAMNEST,s,ADEMNST,damndest (utmost (the greatest degree or amount)) [n -S]
,DANCIER,,ACDEINR,"DANCEY, suitable for dancing [adj]"
,DANGEST,,ADEGNST,DANG [adj]
,DANSAKS,,AADKNSS,"DANSAK, dhansak (a casserole of meats and vegetables) [n]"
,DARNEST,s,ADENRST,damndest (utmost (the greatest degree or amount)) [n -S]
,DATINGS,,ADGINST,"DATING, the act of one that dates [n]"
,DAYPACK,s,AACDKPY,a bag carrying things that is strapped on one's back [n -S]
,DAYSAIL,s,AADILSY,"to sail a yacht for a day [v -ED, -ING, -S]"
,DAYWEAR,,AADERWY,clothing suitable for informal occasions [n DAYWEAR]
,DEALIGN,s,ADEGILN,"to withdraw allegiance to a political party [v -ED, -ING, -S]"
,DEBURRS,,BDERRSU,"DEBURR, to remove rough edges from [v]"
,DEDENDA,,ADDDEEN,"DEDENDUM, the root of a gear tooth [n]"
,DEHAIRS,,ADEHIRS,"DEHAIR, to remove the hair from [v]"
,DELINKS,,DEIKLNS,"DELINK, to break a connection between [v]"
,DEMENTI,as,DEEIMNT,an official denial of a published statement [n -S]
,DEMINER,s,DEEIMNR,one that removes mines (explosive devices) [n -S]
,DEMISTS,,DEIMSST,"DEMIST, to defog (to remove fog from) [v]"
,DENTARY,,ADENRTY,the lower jaw in mammals [n -RIES]
,DERECHO,s,CDEEHOR,a line of intense widespread windstorms [n -CHOS]
,DESCALE,ds,ACDEELS,"to remove the scales from [v -SCALED, -SCALING, -SCALES]"
,DESEEDS,,DDEEESS,"DESEED, to remove the seeds from [v]"
,DESKILL,s,DEIKLLS,"to reduce the level of skill required [v -ED, -ING, -S]"
,DETUNED,,DDEENTU,"DETUNE, to adjust (an instrument) so that it is no longer in tune [v]"
,DETUNES,,DEENSTU,"DETUNE, to adjust (an instrument) so that it is no longer in tune [v]"
,DEXTERS,,DEERSTX,"DEXTER, an animal of a breed of Irish cattle [n]"
,DHANSAK,s,AADHKNS,a casserole of meats and vegetables [n -S]
,DHOLAKS,,ADHKLOS,"DHOLAK, a two-headed drum [n]"
,DHURRAS,,ADHRRSU,"DHURRA, durra (a cereal grain) [n]"
,DHYANAS,,AADHNSY,"DHYANA, profound meditation in Hinduism [n]"
,DIDDUMS,,DDDIMSU,used to express sympathy to a child [interj]
,DIGICAM,s,ACDGIIM,a digital camera [n -S]
,DIMMISH,,DHIIMMS,"somewhat dim [adj] / DIM, obscure (dark or indistinct) [adj]"
,DININGS,,DGIINNS,"DINING, the activity of eating dinner [n]"
,DISCOES,,CDEIOSS,"DISCO, to dance at a discotheque [v]"
,DISKERS,,DEIKRSS,"DISKER, one that disks (to break up land with a type of farm implement) [n]"
,DIVINGS,,DGIINSV,"DIVING, the act or sport of plunging headfirst into water [n]"
,DJEMBES,,BDEEJMS,"DJEMBE, a type of African hand drum [n]"
,DJIBBAH,s,ABBDHIJ,jibba (a long coat worn by Muslim men) [n -S]
,DJIBBAS,,ABBDIJS,"DJIBBA, jibba (a long coat worn by Muslim men) [n]"
,DODDLES,,DDDELOS,"DODDLE, an easy task [n]"
,DOGSKIN,s,DGIKNOS,leather made from the skin of a dog [n -S]
,DOGTAIL,s,ADGILOT,a type of grass [n -S]
,DOILIED,,DDEIILO,[adj]
,DONAIRS,,ADINORS,"DONAIR, sliced lamb rolled in pita bread [n]"
,DONEGAL,s,ADEGLNO,a type of tweed (a coarse woolen fabric) [n -S]
,DONGING,,DGGINNO,"DONG, to make a deep sound like that of a large bell [v]"
,DONSHIP,s,DHINOPS,the position of a don (a senior member of a British university) [n -S]
,DOODAHS,,ADDHOOS,"DOODAH, a small useful device [n]"
,DORYMAN,,ADMNORY,one that fishes from a dory [n -MEN]
,DORYMEN,,DEMNORY,"DORYMAN, one that fishes from a dory [n]"
,DOUCEST,,CDEOSTU,"DOUCE, sober, sedate [adj]"
,DOUTING,,DGINOTU,"DOUT, to extinguish (as a fire) [v]"
,DOWNILY,,DILNOWY,in a downy manner [adv]
,DREADER,,ADDEERR,"DREAD, frightening [adj]"
,DREARER,,ADEERRR,"DREAR, dreary (dismal (cheerless and depressing)) [adj]"
,DROPTOP,s,DOOPPRT,a convertible automobile [n -S]
,DRUPELS,,DELPRSU,"DRUPEL, drupelet (a small drupe (a fleshy fruit)) [n]"
,DRUTHER,s,DEHRRTU,one's preference [n -S]
,DRYSUIT,s,DIRSTUY,a waterproof rubber suit worn by divers [n -S]
,DUALISE,ds,ADEILSU,"to dualize (to make twofold) [v -ISED, -ISING, -ISES]"
,DUALLIE,s,ADEILLU,dually (a pickup truck with double rear wheels) [n -S]
,DUBSTEP,s,BDEPSTU,a type of electronic dance music [n -S]
,DUCKISH,,CDHIKSU,dusk [n -ES]
,DUDETTE,s,DDEETTU,a dudish female [n -S]
,DUFFEST,,DEFFSTU,"DUFF, worthless, useless [adj]"
,DUFFING,,DFFGINU,"DUFF, to mishit a ball in golf [v]"
,DULCIAN,as,ACDILNU,an early type of bassoon [n -S]
,DUPATTA,s,AADPTTU,a scarf or headdress worn by some Muslim women [n -S]
,DUPINGS,,DGINPSU,"DUPING, the act of duplicating something [n]"
,DUPIONS,,DINOPSU,"DUPION, a type of silk fabric [n]"
,DUPLETS,,DELPSTU,"DUPLET, a set of two of one kind [n]"
,DUYKERS,,DEKRSUY,"DUYKER, duiker (a small antelope (a ruminant mammal)) [n]"
,EARHOLE,s,AEEHLOR,the external opening of the ear [n -S]
,ECHAPPE,,ACEEHPP,moving from a closed to an open position of the feet in ballet [adj]
,ECLOSED,,CDEELOS,"ECLOSE, to emerge as a larva from an egg [v]"
,ECLOSES,,CEELOSS,"ECLOSE, to emerge as a larva from an egg [v]"
,ECOGIFT,s,CEFGIOT,a donation of land to a government for ecological purposes [n -S]
,ECORCHE,s,CCEEHOR,an anatomical figure with the skin removed to show the musculature [n -S]
,ECOZONE,s,CEENOOZ,a regional ecosystem [n -S]
,ECUMENE,s,CEEEMNU,an inhabited area [n -S]
,EDAMAME,s,AADEEMM,green soybeans in a pod [n -S]
tw,EENSIER,,EEEINRS,"EENSY, tiny (very small) [adj]"
l,EGGIEST,,EEGGIST,"EGGY, tasting or smelling of egg [adj]"
,EGOTIZE,ds,EEGIOTZ,"to talk and think about oneself excessively [v -TIZED, -TIZING, -TIZES]"
,ELDESTS,,DEELSST,"ELDEST, the oldest one of three or more [n]"
,ELMWOOD,s,DELMOOW,the wood of an elm [n -S]
,EMOCORE,s,CEEMOOR,emo (a style of rock music with emotional lyrics) [n -S]
,ENDCAPS,,ACDENPS,"ENDCAP, a display of products at the end of an aisle in a store [n]"
,ENJAMBS,,ABEJMNS,"ENJAMB, to continue a sentence from one line of a poem to the next [v]"
,ENSUITE,s,EEINSTU,a room (as a bathroom) adjoining another room [n -S]
,EPATERS,,AEEPRST,"EPATER, to shock complacent people [v]"
,ESPOIRS,,EIOPRSS,"ESPOIR, a category of wrestlers [n]"
m,ETHANAL,s,AAEHLNT,a volatile liquid compound [n -S]
,ETRIERS,,EEIRRST,"ETRIER, a short rope ladder [n]"
,EUREKAS,,AEEKRSU,"EUREKA, a fortunate discovery [n]"
,EVENTER,s,EEENRTV,a horse or rider competing in eventing [n -S]
,EXEDRAS,,ADEERSX,"EXEDRA, a curved outdoor bench [n]"
,EXTROPY,,EOPRTXY,the prediction that human intelligence will enable life to expand throughout the universe [n -PIES]
,FACEOFF,s,ACEFFFO,the action that starts a hockey game [n -S]
,FACTICE,s,ACCEFIT,a rubber-like material [n -S]
,FACTUMS,,ACFMSTU,"FACTUM, a statement of the facts of a case being appealed [n]"
,FAFFING,,AFFFGIN,"FAFF, to make a fuss [v]"
,FAIRIER,,AEFIIRR,"FAIRY, pertaining to or resembling a fairy [adj]"
,FANBOYS,,ABFNOSY,"FANBOY, a male who is an enthusiastic devotee of something [n]"
,FANGIRL,s,AFGILNR,a female who is an enthusiastic devotee of something [n -S]
,FAUNIST,s,AFINSTU,a specialist on faunas [n -S]
,FAXABLE,,AABEFLX,"FAX, to transmit and reproduce by electronic means [adj]"
,FELTIER,,EEFILRT,"FELTY, resembling a cloth made from wool [adj]"
,FENINGS,,EFGINNS,"FENING, a monetary unit of Bosnia and Herzegovina [n]"
,FENNING,,EFGINNN,FEN [v]
,FETTLER,s,EEFLRTT,one who fettles [n -S]
,FIGTREE,s,EEFGIRT,"a tree that bears figs (soft, sweet dark fruits) [n -S]"
,FINESTS,,EFINSST,"FINEST, the police of a specified city [n]"
,FINNANS,,AFINNNS,"FINNAN, smoked haddock [n]"
,FIREPIT,s,EFIIPRT,a depression dug in the ground in which a fire is made [n -S]
,FIZZILY,,FIILYZZ,"FIZZY, fizzing [adv]"
,FLATTIE,s,AEFILTT,a flat-heeled shoe [n -S]
,FLOREAT,s,AEFLORT,"may he/she/it flourish [v] / [v -ED, -ING, -S]"
,FLOTELS,,EFLLOST,"FLOTEL, floatel (a houseboat used as a hotel) [n]"
,FLYLINE,s,EFILLNY,a type of line used in fly fishing [n -S]
,FOGYDOM,s,DFGMOOY,all the fogies [n -S]
,FOILIST,s,FIILOST,one who fences with a foil (a sword without cutting edges) [n -S]
,FOODERY,,DEFOORY,a restaurant [n -ERIES]
,FOOTBED,s,BDEFOOT,an insole in a boot or shoe [n -S]
,FOREXES,,EEFORSX,"FOREX, a foreign exchange [n]"
,FRACKED,,ACDEFKR,"FRACK, to engage in fracking [v]"
,FRANKUM,s,AFKMNRU,the hardened resin of a spruce tree [n -S]
,FREEGAN,s,AEEFGNR,an activist who scavenges for free food to reduce consumption of resources [n -S]
,FRENEMY,,EEFMNRY,one who pretends to be a friend but is actually an enemy [n -MIES]
,FRICOTS,,CFIORST,"FRICOT, a stew with potatoes and meat or fish [n]"
,FROSHES,,EFHORSS,"FROSH, a freshman (a first-year student at a high school, university, or college) [n]"
,FUCKWIT,s,CFIKTUW,an offensive word [n -S]
,FUDGIER,,DEFGIRU,"FUDGY, resembling fudge (a soft, sweet candy) [adj]"
,FUNSTER,s,EFNRSTU,one that makes fun; a comedian [n -S]
,FURBALL,s,ABFLLRU,a ball of fur regurgitated by a cat [n -S]
,GACHERS,,ACEGHRS,"GACHER, gatcher (one that gatches (to behave boastfully)) [n]"
,GACHING,,ACGGHIN,"GACH, to gatch (to behave boastfully) [v]"
,GANGLED,,ADEGGLN,"GANGLE, to move awkwardly [v]"
,GANGLES,,AEGGLNS,"GANGLE, to move awkwardly [v]"
,GATCHED,,ACDEGHT,"GATCH, to behave boastfully [v]"
,GATCHER,s,ACEGHRT,one that gatches (to behave boastfully) [n -S]
,GATCHES,,ACEGHST,"GATCH, to behave boastfully [v]"
,GATELEG,s,AEEGGLT,a table with extensions supported by movable legs [n -S]
,GAUCHED,,ACDEGHU,"GAUCH, to gatch (to behave boastfully) [v]"
,GAUCHES,t,ACEGHSU,"GAUCH, to gatch (to behave boastfully) [v]"
,GAWMOGE,s,AEGGMOW,a clownish person [n -S]
,GEEKISH,,EEGHIKS,geeky (socially awkward or unappealing) [adj]
,GELCOAT,s,ACEGLOT,a surface layer of polyester resin [n -S]
,GELLIES,,EEGILLS,"GELLY, gelignite (a high explosive) [n]"
,GENISTA,s,AEGINST,a shrub with yellow flowers [n -S]
,GENLOCK,s,CEGKLNO,"a device for synchronizing different video signals [n -S] / [v -ED, -ING, -S]"
,GENNING,,EGGINNN,"GEN, to provide or obtain information [v]"
,GETOUTS,,EGOSTTU,"GETOUT, an excuse to avoid doing something [n]"
,GHAZALS,,AAGHLSZ,"GHAZAL, an amatory lyric poem [n]"
,GHERAOS,,AEGHORS,GHERAO [n]
,GINCHES,,CEGHINS,"GINCH, gotch (underpants) [n]"
,GITCHES,,CEGHIST,"GITCH, gotch (underpants) [n]"
,GLAMMED,,ADEGLMM,"GLAM, to make oneself look alluringly attractive [v]"
,GLAMMER,,AEGLMMR,"GLAM, characterized by extravagant glamor [adj]"
,GLIOSES,,EGILOSS,"GLIOSIS, pathological proliferation of glial cells [n]"
,GLIOSIS,,GIILOSS,pathological proliferation of glial cells [n -OSES]
,GLISSES,,EGILSSS,"GLISSE, a dance step [n]"
,GOATIER,,AEGIORT,"GOATY, suggestive of a goat [adj]"
,GODWARD,s,ADDGORW,toward God [adv]
,GOITRED,,DEGIORT,"GOITRE, goiter (an enlargement of the thyroid gland) [adj]"
,GONCHES,,CEGHNOS,"GONCH, gaunch (underpants) [n]"
,GOOGLED,,DEGGLOO,"GOOGLE, to use an Internet search engine [v]"
,GOOGLES,,EGGLOOS,"GOOGLE, to use an Internet search engine [v]"
,GOOLIES,,EGILOOS,"GOOLIE, an offensive word [n] / GOOLY, an offensive word [n]"
,GOONDAS,,ADGNOOS,"GOONDA, a hired thug [n]"
,GOONERY,,EGNOORY,thuggish behavior [n -ERIES]
,GOTCHES,,CEGHOST,"GOTCH, underpants [n]"
,GOYISHE,,EGHIOSY,[adj] / an offensive word [adj]
,GRAPLES,,AEGLPRS,GRAPLE [n]
,GROVIER,,EGIORRV,"GROVY, resembling or suggestive of a grove [adj]"
,GUBBINS,,BBGINSU,a trivial object [n GUBBINSES]
,GUILTED,,DEGILTU,"GUILT, to cause (someone) to feel guilty [v]"
,GUINEPS,,EGINPSU,"GUINEP, genip (a tropical tree) [n]"
,GULLERY,,EGLLRUY,a place where gulls (web-footed seabirds) breed [n -ERIES]
,GUMMILY,,GILMMUY,in a toothless manner [adv]
,GUNGIER,,EGGINRU,"GUNGY, gunky (filthy, sticky, or greasy) [adj]"
,GUNGING,,GGGINNU,"GUNGE, to obstruct with gunky material [v]"
,GUNKING,,GGIKNNU,"GUNK, to cause something to be gunky [v]"
,GUNNERA,s,AEGNNRU,a plant with large leaves [n -S]
,GUNPORT,s,GNOPRTU,an opening in a ship or airplane for a gun [n -S]
,GUNTERS,,EGNRSTU,"GUNTER, a type of sail [n]"
,GURDIES,,DEGIRSU,"GURDY, a winch on a fishing boat [n]"
,GUTFULS,,FGLSTUU,"GUTFUL, an excessive amount [n]"
,GYMSLIP,s,GILMPSY,a sleeveless tunic often worn by schoolgirls [n -S]
,HACKERY,,ACEHKRY,"dull, unoriginal writing [n -ERIES]"
,HAIRILY,,AHIILRY,in a hairy manner [adv]
,HALFWIT,s,AFHILTW,a foolish or stupid person [n -S]
,HALIERS,,AEHILRS,"HALIER, a former monetary unit of Slovakia [n]"
,HALLALS,,AAHLLLS,HALLAL [v]
,HAMATSA,s,AAAHMST,a dance inspired by the spirit of a man-eating monster [n -S]
,HAMFATS,,AAFHMST,"HAMFAT, an amateurish performer [n]"
,HARDISH,,ADHHIRS,somewhat hard [adj]
,HASHTAG,s,AAGHHST,a word or phrase preceded by the symbol # that categorizes the accompanying text [n -S]
,HAULOUT,s,AHLOTUU,the action of hauling a boat out of water [n -S]
,HAUTEST,,AEHSTTU,"HAUTE, high-class [adj]"
,HECKUVA,,ACEHKUV,[adj]
,HECTICS,,CCEHIST,"HECTIC, a fever accompanied by flushed cheeks [n]"
c,HEDARIM,,ADEHIMR,"HEDER, a Jewish school [n]"
,HELISKI,s,EHIIKLS,"to ski downhill on mountains reached by helicopter [v -ED, -ING, -S]"
,HICCUPY,,CCHIPUY,"having hiccups (spasmodic inhalations) [adj] / [adj HICCUPIER, HICCUPIEST]"
t,HICKEST,,CEHIKST,"HICK, characteristic of rural people [adj]"
,HOGGERY,,EGGHORY,a pigpen (a place where pigs are kept) [n -GERIES]
,HOISINS,,HIINOSS,"HOISIN, a spicy brown sauce [n]"
,HOMININ,es,HIIMNNO,a hominid of a tribe that includes recent humans and extinct related forms [n -S]
,HORKING,,GHIKNOR,"HORK, to spit (to impale on a spit (a pointed rod on which meat is turned)) [v]"
,HORNDOG,s,DGHNOOR,a sexually aggressive man [n -S]
,HORSIES,t,EHIORSS,"HORSIE, a child's name for a horse [n]"
,HOTPOTS,,HOOPSTT,"HOTPOT, a casserole of meat and vegetables [n]"
,HOUMMOS,,HMMOOSU,hummus (a paste of pureed chickpeas and tahini) [n -ES]
,HOUNGAN,s,AGHNNOU,a voodoo priest [n -S]
,HOUSIER,,EHIORSU,"HOUSEY, being in the style of house music [adj]"
,HRYVNYA,s,AHNRVYY,hryvnia (a monetary unit of Ukraine) [n -S]
,HUBLESS,,BEHLSSU,lacking a hub [adj]
,HUGGIER,,EGGHIRU,"HUGGY, involving or given to hugging [adj]"
,HUMINTS,,HIMNSTU,"HUMINT, secret intelligence-gathering by agents [n]"
,HUMPIES,t,EHIMPSU,"HUMPY, a primitive hut in Australia [n]"
,HYPERER,,EEHPRRY,HYPER [adj]
,HYPOIDS,,DHIOPSY,"HYPOID, a type of toothed wheel [n]"
,ICEFISH,,CEFHIIS,"to fish through holes in the ice on a lake or river [v -ED, -ING, -ES]"
,ICEWINE,s,CEEIINW,sweet wine made from grapes frozen on the vine [n -S]
,ICEWORM,s,CEIMORW,a small worm found in glaciers [n -S]
,IMMUNER,,EIMMNRU,IMMUNE [adj]
,INAPTER,,AEINPRT,"INAPT, not apt [adj]"
,INBOXES,,BEINOSX,"INBOX, a window in which electronic mail is displayed [n]"
,INDEEDY,,DDEEINY,used to emphasize an affirmative [interj]
,INDUNAS,,ADINNSU,"INDUNA, a tribal overseer in Africa [n]"
,INEPTER,,EEINPRT,"INEPT, not suitable [adj]"
,INFEEDS,,DEEFINS,"INFEED, the action of supplying material to a machine [n]"
,INFILLS,,FIILLNS,"INFILL, to fill in (a hole) [v]"
,INFULAE,,AEFILNU,"INFULA, either of the two ribbons on a bishop's miter [n]"
,INJERAS,,AEIJNRS,"INJERA, a type of Ethiopian bread [n]"
,INKJETS,,EIJKNST,"INKJET, a printer that spurts ink to form letters [n]"
,INSULAE,,AEILNSU,"INSULA, a region of the brain [n]"
,INUKSUK,s,IKKNSUU,an inukshuk (a figure of a human made of stones) [n INUKSUKS or INUKSUIT]
l,IONISER,s,EIINORS,ionizer (one that ionizes (to convert into ions)) [n -S]
,IRONIER,,EIINORR,IRONY [adj]
,IRONISE,ds,EIINORS,"to ironize (to mix with nutritional iron) [v -NISED, -NISING, -NISES]"
,IVORIED,,DEIIORV,"IVORY, a hard white substance found in elephant tusks [adj]"
,IVORIER,,EIIORRV,IVORY [adj]
,JANNEYS,,AEJNNSY,"JANNEY, to janny (to act as a disguised merrymaker at Christmas) [v]"
,JANNIED,,ADEIJNN,"JANNY, to act as a disguised merrymaker at Christmas [v]"
,JANNIES,,AEIJNNS,"JANNY, to act as a disguised merrymaker at Christmas [v]"
,JEEZELY,,EEEJLYZ,jeezly (used as an intensifier) [adj]
,JEHADIS,t,ADEHIJS,"JEHADI, jihadi (a Muslim who participates in a jihad) [n]"
,JETPACK,s,ACEJKPT,a backpack with jets to transport the wearer [n -S]
d,JIBBAHS,,ABBHIJS,"JIBBAH, jibba (a long coat worn by Muslim men) [n]"
,JIHADIS,t,ADHIIJS,"JIHADI, a Muslim who participates in a jihad [n]"
,JIMSONS,,IJMNOSS,"JIMSON, a tall poisonous weed [n]"
,JOBBIES,,BBEIJOS,"JOBBIE, an example of its type [n]"
,JOCKDOM,s,CDJKMOO,the world of athletes [n -S]
,JOCKIER,,CEIJKOR,"JOCKY, resembling an athlete (one skilled in feats of physical strength and agility) [adj]"
,JOCKISH,,CHIJKOS,characteristic of an athlete [adj]
,JOCOSER,,CEJOORS,"JOCOSE, humorous (funny; witty) [adj]"
,JOGTROT,s,GJOORTT,"a slow regular way of walking or running [n -S] / [v -TED, -TING, -S]"
,JOYPADS,,ADJOPSY,"JOYPAD, a device with buttons to control computer images [n]"
,JUDDERY,,DDEJRUY,"vibrating [adj] / [adj JUDDERIER, JUDDERIEST]"
,JUMARED,,ADEJMRU,"JUMAR, to climb with ropes using a type of clamp [v]"
,JUMBIES,,BEIJMSU,"JUMBIE, a spirit of a dead person [n]"
,KABADDI,s,AABDDIK,a tackling sport of South Asia played by two teams [n -S]
,KABOCHA,s,AABCHKO,a type of Japanese pumpkin or squash [n -S]
,KABOOMS,,ABKMOOS,"KABOOM, the sound of a loud explosion [n]"
,KAIZENS,,AEIKNSZ,"KAIZEN, a Japanese business practice of continuous improvement [n]"
,KAKIVAK,s,AAIKKKV,a fish spear used by the Inuits [n -S]
,KAMOTIK,s,AIKKMOT,komatik (an Inuit sledge) [n -S]
,KAMOTIQ,s,AIKMOQT,komatik (an Inuit sledge) [n -S]
,KAPEYKA,,AAEKKPY,a monetary unit of Belarus [n KAPEEK]
,KARAHIS,,AAHIKRS,"KARAHI, a small frying pan used in India [n]"
,KATANAS,,AAAKNST,"KATANA, a Japanese single-edged sword [n]"
,KATHUMP,s,AHKMPTU,a loud thudding sound [n -S]
,KATSINA,ms,AAIKNST,kachina (an ancestral spirit) [n -NAM or -NAS]
,KEMPIER,,EEIKMPR,"KEMPY, having coarse hair or fibers [adj]"
,KERMODE,s,DEEKMOR,a type of black bear [n -S]
,KETAINE,,AEEIKNT,being in poor taste [adj]
,KIBITKA,s,ABIIKKT,a type of Russian sled or wagon [n -S]
,KIDLITS,,DIIKLST,"KIDLIT, literature for children [n]"
,KIKUYUS,,IKKUUSY,"KIKUYU, a type of grass [n]"
,KIPPAHS,,AHIKPPS,"KIPPAH, kippa (a yarmulke (a skullcap worn by Jewish males)) [n]"
,KIRPANS,,AIKNPRS,"KIRPAN, a dagger carried by Sikhs [n]"
,KISSIER,,EIIKRSS,"KISSY, inclined to kiss [adj]"
,KITINGS,,GIIKNST,"KITING, the act of flying a kite [n]"
,KNAIDEL,s,ADEIKLN,a type of dumpling (a ball of dough cooked with stew or soup) [n KNAIDLACH or KNAIDELS]
,KNEIDEL,s,DEEIKLN,knaidel (a type of dumpling (a ball of dough cooked with stew or soup)) [n KNEIDLACH or KNEIDELS]
,KOCHIAS,,ACHIKOS,"KOCHIA, a Eurasian plant [n]"
,KONGONI,,GIKNNOO,an African antelope [n KONGONI]
,KOOKILY,,IKKLOOY,"KOOKY, eccentric [adv]"
s,KOOKUMS,,KKMOOSU,"KOOKUM, kokum (an East Indian tree) [n]"
,KUBASAS,,AABKSSU,"KUBASA, a Ukrainian sausage [n]"
,KUDLIKS,,DIKKLSU,"KUDLIK, an Inuit oil lamp [n]"
,KUDOSES,,DEKOSSU,"KUDOS, KUDO, award; honor [n]"
,KUMISES,,EIKMSSU,"KUMIS, koumiss (a beverage made from camel's milk) [n]"
,KUMKUMS,,KKMMSUU,"KUMKUM, a red powder used by Hindu women [n]"
,KYLIXES,,EIKLSXY,"KYLIX, a drinking vessel [n]"
,LADDIER,,ADDEILR,"LADDY, laddish in behavior [adj]"
,LADDISM,s,ADDILMS,boisterous macho behavior by lads [n -S]
,LAIRAGE,s,AAEGILR,a place where cattle are housed at markets [n -S]
g,LAIRIER,,AEIILRR,"LAIRY, unpleasantly loud [adj]"
,LAMPLIT,,AILLMPT,lighted by a lamp [adj]
b,LANCHED,,ACDEHLN,"LANCH, to haul a boat over ice [v]"
bp,LANCHES,,ACEHLNS,"LANCH, to haul a boat over ice [v]"
,LANGUED,,ADEGLNU,having the tongue of a specified color [adj]
,LARIGAN,s,AAGILNR,a leather boot [n -S]
,LARNING,,AGILNNR,"LARN, to learn (to gain knowledge by experience, instruction, or study) [v]"
,LASERED,,ADEELRS,"LASER, to treat with a laser (a device that amplifies light waves) [v]"
bcfp,LATTERS,,AELRSTT,"LATTER, the second mentioned person or thing of two [n]"
,LAWNING,,AGILNNW,LAWN [v]
,LEGGIES,t,EEGGILS,LEGGY [n]
,LEGHOLD,s,DEGHLLO,a trap that catches an animal by its leg [n -S]
,LETOUTS,,ELOSTTU,"LETOUT, something that makes it possible to avoid doing something [n]"
,LEUCONS,,CELNOSU,"LEUCON, a sponge of complex structure [n]"
,LEXISES,,EEILSSX,"LEXIS, the vocabulary of a language, a group, or a subject field [n]"
,LIASSIC,,ACIILSS,[adj]
,LIATRIS,,AIILRST,an herb with tubular flowers [n -ATRISES]
,LIKABLY,,ABIKLLY,"LIKABLE, pleasant (pleasing) [adv]"
,LIMBOED,,BDEILMO,"LIMBO, to perform a West Indian dance [v]"
,LIMBOES,,BEILMOS,LIMBO [n]
,LINCTUS,,CILNSTU,a syrupy medicine [n -TUSES]
,LINDIED,,DDEIILN,"LINDY, to perform a fast, lively dance [v]"
,LINHAYS,,AHILNSY,"LINHAY, linny (a row of rooms across the back of a house) [n]"
,LINNEYS,,EILNNSY,"LINNEY, linny (a row of rooms across the back of a house) [n]"
,LINNIES,,EIILNNS,"LINNY, a row of rooms across the back of a house [n]"
,LIQUIDY,,DIILQUY,"[adj LIQUIDIER, LIQUIDIEST] / LIQUID, a substance that flows freely [adj]"
,LISTBOX,,BILOSTX,a box on a computer screen that contains a list of options [n -ES]
,LITHOES,,EHILOST,"LITHO, to make prints by lithography [v]"
